Country,ID,Count,Rate,Year
Burundi,BDI,-1,-1,2003
Kenya,KEN,-1,-1,2003
Mauritius,MUS,53,4.4,2003
Mozambique,MOZ,-1,-1,2003
Rwanda,RWA,-1,-1,2003
Uganda,UGA,537,2,2003
Zimbabwe,ZWE,3858,30.4,2003
Cameroon,CMR,451,2.6,2003
Sao Tome and Principe,STP,-1,-1,2003
Algeria,DZA,723,2.2,2003
Egypt,EGY,20,0,2003
Morocco,MAR,618,2.1,2003
Sudan,SDN,-1,-1,2003
Botswana,BWA,-1,-1,2003
Lesotho,LSO,-1,-1,2003
Swaziland,SWZ,785,72.2,2003
Guinea,GIN,-1,-1,2003
Nigeria,NGA,-1,-1,2003
Senegal,SEN,-1,-1,2003
Sierra Leone,SLE,-1,-1,2003
Bermuda,BMU,36,-1,2003
Canada,CAN,531,1.7,2003
United States of America,USA,93883,32.1,2003
Bahamas,BHS,-1,-1,2003
Barbados,BRB,-1,-1,2003
Dominican Republic,DOM,-1,-1,2003
Grenada,GRD,-1,-1,2003
Jamaica,JAM,-1,-1,2003
Saint Kitts and Nevis,KNA,-1,-1,2003
Saint Vincent and the Grenadines,VCT,-1,-1,2003
Trinidad and Tobago,TTO,-1,-1,2003
Belize,BLZ,-1,-1,2003
Costa Rica,CRI,-1,-1,2003
El Salvador,SLV,-1,-1,2003
Guatemala,GTM,-1,-1,2003
Honduras,HND,-1,-1,2003
Mexico,MEX,-1,-1,2003
Nicaragua,NIC,-1,-1,2003
Panama,PAN,-1,-1,2003
Argentina,ARG,-1,-1,2003
Bolivia,BOL,-1,-1,2003
Brazil,BRA,-1,-1,2003
Chile,CHL,-1,-1,2003
Colombia,COL,-1,-1,2003
Ecuador,ECU,1488,11.2,2003
Guyana,GUY,-1,-1,2003
Paraguay,PRY,-1,-1,2003
Peru,PER,5991,22.1,2003
Suriname,SUR,186,38.2,2003
Uruguay,URY,297,8.9,2003
Kazakhstan,KAZ,-1,-1,2003
Kyrgyzstan,KGZ,296,5.9,2003
Tajikistan,TJK,-1,-1,2003
Turkmenistan,TKM,37,0.8,2003
Hong Kong Special Administrative Region of China,HKG,70,1,2003
Japan,JPN,2472,2,2003
Mongolia,MNG,386,15.6,2003
Republic of Korea,KOR,5899,12.7,2003
Brunei Darussalam,BRN,24,6.8,2003
Indonesia,IDN,-1,-1,2003
Philippines,PHL,3084,3.7,2003
Singapore,SGP,110,2.6,2003
Thailand,THA,-1,-1,2003
Bangladesh,BGD,-1,-1,2003
India,IND,-1,-1,2003
Maldives,MDV,2,0.7,2003
Nepal,NPL,-1,-1,2003
Sri Lanka,LKA,1378,7.1,2003
Armenia,ARM,3,0.1,2003
Azerbaijan,AZE,49,0.6,2003
Bahrain,BHR,19,2.5,2003
Cyprus,CYP,32,3.2,2003
Georgia,GEO,52,1.1,2003
Israel,ISR,-1,-1,2003
Jordan,JOR,-1,-1,2003
Kuwait,KWT,-1,-1,2003
Lebanon,LBN,-1,-1,2003
Oman,OMN,-1,-1,2003
Qatar,QAT,11,1.7,2003
State of Palestine,PSE,85,2.5,2003
Syrian Arab Republic,SYR,131,0.8,2003
Turkey,TUR,1604,2.4,2003
United Arab Emirates,ARE,44,1.3,2003
Yemen,YEM,-1,-1,2003
Belarus,BLR,432,4.4,2003
Bulgaria,BGR,611,7.8,2003
Czech Republic,CZE,646,6.3,2003
Hungary,HUN,535,5.3,2003
Poland,POL,2322,6.1,2003
Republic of Moldova,MDA,272,7,2003
Romania,ROU,983,4.4,2003
Russian Federation,RUS,8185,5.6,2003
Slovakia,SVK,233,4.3,2003
Ukraine,UKR,1048,2.2,2003
Denmark,DNK,472,8.8,2003
Estonia,EST,107,8,2003
Finland,FIN,573,11,2003
Iceland,ISL,69,23.8,2003
Ireland,IRL,370,9.2,2003
Latvia,LVA,123,5.4,2003
Lithuania,LTU,278,8.2,2003
Norway,NOR,706,15.5,2003
Sweden,SWE,2235,25,2003
United Kingdom,GBR,14430,-1,2003
Albania,ALB,-1,-1,2003
Andorra,AND,-1,-1,2003
Bosnia and Herzegovina,BIH,-1,-1,2003
Croatia,HRV,213,4.8,2003
Greece,GRC,231,2.1,2003
Malta,MLT,11,2.7,2003
Montenegro,MNE,-1,-1,2003
Portugal,PRT,392,3.8,2003
Serbia,SRB,-1,-1,2003
Slovenia,SVN,70,3.5,2003
Spain,ESP,-1,-1,2003
Austria,AUT,-1,-1,2003
Belgium,BEL,2850,27.4,2003
France,FRA,10408,17.2,2003
Germany,DEU,8766,10.5,2003
Liechtenstein,LIE,0,-1,2003
