Rank,Country,CPI,Year,X,X.1,ID
1,Finland,9.7,2003,NA,NA,FIN
2,Iceland,9.6,2003,NA,NA,ISL
3,Denmark,9.5,2003,NA,NA,DNK
3,New Zealand,9.5,2003,NA,NA,NZL
5,Singapore,9.4,2003,NA,NA,SGP
6,Sweden,9.3,2003,NA,NA,SWE
7,Netherlands,8.9,2003,NA,NA,NLD
8,Australia,8.8,2003,NA,NA,AUS
8,Norway,8.8,2003,NA,NA,NOR
8,Switzerland,8.8,2003,NA,NA,CHE
11,Canada,8.7,2003,NA,NA,CAN
11,Luxembourg,8.7,2003,NA,NA,LUX
11,United Kingdom,8.7,2003,NA,NA,GBR
14,Austria,8,2003,NA,NA,AUT
14,Hong Kong,8,2003,NA,NA,HKG
16,Germany,7.7,2003,NA,NA,DEU
17,Belgium,7.6,2003,NA,NA,BEL
18,Ireland,7.5,2003,NA,NA,IRL
18,USA,7.5,2003,NA,NA,USA
20,Chile,7.4,2003,NA,NA,CHL
21,Israel,7,2003,NA,NA,ISR
21,Japan,7,2003,NA,NA,JPN
23,France,6.9,2003,NA,NA,FRA
23,Spain,6.9,2003,NA,NA,ESP
25,Portugal,6.6,2003,NA,NA,PRT
26,Oman,6.3,2003,NA,NA,OMN
27,Bahrain,6.1,2003,NA,NA,BHR
27,Cyprus,6.1,2003,NA,NA,CYP
29,Slovenia,5.9,2003,NA,NA,SVN
30,Botswana,5.7,2003,NA,NA,BWA
30,Taiwan,5.7,2003,NA,NA,TWN
32,Qatar,5.6,2003,NA,NA,QAT
33,Estonia,5.5,2003,NA,NA,EST
33,Uruguay,5.5,2003,NA,NA,URY
35,Italy,5.3,2003,NA,NA,ITA
35,Kuwait,5.3,2003,NA,NA,KWT
37,Malaysia,5.2,2003,NA,NA,MYS
37,United Arab Emirates,5.2,2003,NA,NA,ARE
39,Tunisia,4.9,2003,NA,NA,TUN
40,Hungary,4.8,2003,NA,NA,HUN
41,Lithuania,4.7,2003,NA,NA,LTU
41,Namibia,4.7,2003,NA,NA,NAM
43,Cuba,4.6,2003,NA,NA,CUB
43,Jordan,4.6,2003,NA,NA,JOR
43,Trinidad and Tobago,4.6,2003,NA,NA,TTO
46,Belize,4.5,2003,NA,NA,BLZ
46,Saudi Arabia,4.5,2003,NA,NA,SAU
48,Mauritius,4.4,2003,NA,NA,MUS
48,South Africa,4.4,2003,NA,NA,ZAF
50,Costa Rica,4.3,2003,NA,NA,CRI
50,Greece,4.3,2003,NA,NA,GRC
50,South Korea,4.3,2003,NA,NA,KOR
53,Belarus,4.2,2003,NA,NA,BLR
54,Brazil,3.9,2003,NA,NA,BRA
54,Bulgaria,3.9,2003,NA,NA,BGR
54,Czech Republic,3.9,2003,NA,NA,CZE
57,Jamaica,3.8,2003,NA,NA,JAM
57,Latvia,3.8,2003,NA,NA,LVA
59,Colombia,3.7,2003,NA,NA,COL
59,Croatia,3.7,2003,NA,NA,HRV
59,El Salvador,3.7,2003,NA,NA,SLV
59,Peru,3.7,2003,NA,NA,PER
59,Slovakia,3.7,2003,NA,NA,SVK
64,Mexico,3.6,2003,NA,NA,MEX
64,Poland,3.6,2003,NA,NA,POL
66,China,3.4,2003,NA,NA,CHN
66,Panama,3.4,2003,NA,NA,PAN
66,Sri Lanka,3.4,2003,NA,NA,LKA
66,Syria,3.4,2003,NA,NA,SYR
70,Bosnia & Herzegovina,3.3,2003,NA,NA,BIH
70,Dominican Republic,3.3,2003,NA,NA,DOM
70,Egypt,3.3,2003,NA,NA,EGY
70,Ghana,3.3,2003,NA,NA,GHA
70,Morocco,3.3,2003,NA,NA,MAR
70,Thailand,3.3,2003,NA,NA,THA
70,Senegal,3.2,2003,NA,NA,SEN
77,Turkey,3.1,2003,NA,NA,TUR
78,Armenia,3,2003,NA,NA,ARM
78,Iran,3,2003,NA,NA,IRN
78,Lebanon,3,2003,NA,NA,LBN
78,Mali,3,2003,NA,NA,MLI
78,Palestine,3,2003,NA,NA,PSE
83,India,2.8,2003,NA,NA,IND
83,Malawi,2.8,2003,NA,NA,MWI
83,Romania,2.8,2003,NA,NA,ROU
86,Mozambique,2.7,2003,NA,NA,MOZ
86,Russia,2.7,2003,NA,NA,RUS
88,Algeria,2.6,2003,NA,NA,DZA
88,Madagascar,2.6,2003,NA,NA,MDG
88,Nicaragua,2.6,2003,NA,NA,NIC
88,Yemen,2.6,2003,NA,NA,YEM
92,Albania,2.5,2003,NA,NA,ALB
92,Argentina,2.5,2003,NA,NA,ARG
92,Ethiopia,2.5,2003,NA,NA,ETH
92,Gambia,2.5,2003,NA,NA,GMB
92,Pakistan,2.5,2003,NA,NA,PAK
92,Philippines,2.5,2003,NA,NA,PHL
92,Tanzania,2.5,2003,NA,NA,TZA
92,Zambia,2.5,2003,NA,NA,ZMB
100,Guatemala,2.4,2003,NA,NA,GTM
100,Kazakhstan,2.4,2003,NA,NA,KAZ
100,Moldova,2.4,2003,NA,NA,MDA
100,Uzbekistan,2.4,2003,NA,NA,UZB
100,Venezuela,2.4,2003,NA,NA,VEN
100,Vietnam,2.4,2003,NA,NA,VNM
106,Bolivia,2.3,2003,NA,NA,BOL
106,Honduras,2.3,2003,NA,NA,HND
106,Macedonia,2.3,2003,NA,NA,MKD
106,Serbia and Montenegro,2.3,2003,NA,NA,NA
106,Sudan,2.3,2003,NA,NA,SDN
106,Ukraine,2.3,2003,NA,NA,UKR
106,Zimbabwe,2.3,2003,NA,NA,ZWE
113,Congo, Republic of the,2.2,2003,NA,NA,COG
113,Ecuador,2.2,2003,NA,NA,ECU
113,Iraq,2.2,2003,NA,NA,IRQ
113,Sierra Leone,2.2,2003,NA,NA,SLE
113,Uganda,2.2,2003,NA,NA,UGA
118,Cote d'Ivoire,2.1,2003,NA,NA,CIV
118,Kyrgyzstan,2.1,2003,NA,NA,KGZ
118,Libya,2.1,2003,NA,NA,LBY
118,Papua New Guinea,2.1,2003,NA,NA,PNG
122,Indonesia,1.9,2003,NA,NA,IDN
122,Kenya,1.9,2003,NA,NA,KEN
124,Angola,1.8,2003,NA,NA,AGO
124,Azerbaijan,1.8,2003,NA,NA,AZE
124,Cameroon,1.8,2003,NA,NA,CMR
124,Georgia,1.8,2003,NA,NA,GEO
124,Tajikistan,1.8,2003,NA,NA,TJK
129,Myanmar,1.6,2003,NA,NA,MMR
129,Paraguay,1.6,2003,NA,NA,PRY
131,Haiti,1.5,2003,NA,NA,HTI
132,Nigeria,1.4,2003,NA,NA,NGA
133,Bangladesh,1.3,2003,NA,NA,BGD
