Rank,Country,X,CPI,Year,ID
1,Denmark,EU,9,2012,DNK
1,Finland,EU,9,2012,FIN
1,New Zealand,AP,9,2012,NZL
4,Sweden,EU,8.8,2012,SWE
5,Singapore,AP,8.7,2012,SGP
6,Switzerland,EU,8.6,2012,CHE
7,Australia,AP,8.5,2012,AUS
7,Norway,EU,8.5,2012,NOR
9,Canada,AM,8.4,2012,CAN
9,Netherlands,EU,8.4,2012,NLD
11,Iceland,EU,8.2,2012,ISL
12,Luxembourg,EU,8,2012,LUX
13,Germany,EU,7.9,2012,DEU
14,Hong Kong,AP,7.7,2012,HKG
15,Barbados,AM,7.6,2012,BRB
16,Belgium,EU,7.5,2012,BEL
17,Japan,AP,7.4,2012,JPN
17,United Kingdom,EU,7.4,2012,GBR
19,United States,AM,7.3,2012,USA
20,Chile,AM,7.2,2012,CHL
20,Uruguay,AM,7.2,2012,URY
22,Bahamas,AM,7.1,2012,BHS
22,France,EU,7.1,2012,FRA
22,Saint Lucia,AM,7.1,2012,LCA
25,Austria,EU,6.9,2012,AUT
25,Ireland,EU,6.9,2012,IRL
27,Qatar,ME,6.8,2012,QAT
27,United Arab Emirates,ME,6.8,2012,ARE
29,Cyprus,EU,6.6,2012,CYP
30,Botswana,AF,6.5,2012,BWA
30,Spain,EU,6.5,2012,ESP
32,Estonia,EU,6.4,2012,EST
33,Bhutan,AP,6.3,2012,BTN
33,Portugal,EU,6.3,2012,PRT
33,Puerto Rico,AM,6.3,2012,PRI
36,Saint Vincent and the Grenadines,AM,6.2,2012,VCT
37,Slovenia,EU,6.1,2012,SVN
37,Taiwan,AP,6.1,2012,TWN
39,Cape Verde,AF,6,2012,CPV
39,Israel,ME,6,2012,ISR
41,Dominica,AM,5.8,2012,DMA
41,Poland,EU,5.8,2012,POL
43,Malta,EU,5.7,2012,MLT
43,Mauritius,AF,5.7,2012,MUS
45,South Korea,AP,5.6,2012,KOR
46,Brunei,AP,5.5,2012,BRN
46,Hungary,EU,5.5,2012,HUN
48,Costa Rica,AM,5.4,2012,CRI
48,Lithuania,EU,5.4,2012,LTU
50,Rwanda,AF,5.3,2012,RWA
51,Georgia,EE,5.2,2012,GEO
51,Seychelles,AF,5.2,2012,SYC
53,Bahrain,ME,5.1,2012,BHR
54,Czech Republic,EU,4.9,2012,CZE
54,Latvia,EU,4.9,2012,LVA
54,Malaysia,AP,4.9,2012,MYS
54,Turkey,EE,4.9,2012,TUR
58,Cuba,AM,4.8,2012,CUB
