Rank,Country,CPI,Year
1,Denmark,9.94,1997
2,Finland,9.48,1997
3,Sweden,9.35,1997
4,New Zealand,9.23,1997
5,Canada,9.1,1997
6,Netherlands,9.03,1997
7,Norway,8.92,1997
8,Australia,8.86,1997
9,Singapore,8.66,1997
10,Luxemburg,8.61,1997
11,Switzerland,8.61,1997
12,Ireland,8.28,1997
13,Germany,8.23,1997
14,United Kingdom,8.22,1997
15,Israel,7.97,1997
16,USA,7.61,1997
17,Austria,7.61,1997
18,Hong Kong,7.28,1997
19,Portugal,6.97,1997
20,France,6.66,1997
21,Japan,6.57,1997
22,Costa Rica,6.45,1997
23,Chile,6.05,1997
24,Spain,5.9,1997
25,Greece,5.35,1997
26,Belgium,5.25,1997
27,Czech Republic,5.2,1997
28,Hungary,5.18,1997
29,Poland,5.08,1997
30,Italy,5.03,1997
31,Taiwan,5.02,1997
32,Malaysia,5.01,1997
33,South Africa,4.95,1997
34,South Korea,4.29,1997
35,Uruguay,4.14,1997
36,Brazil,3.56,1997
37,Romania,3.44,1997
38,Turkey,3.21,1997
39,Thailand,3.06,1997
40,Philippines,3.05,1997
41,China,2.88,1997
42,Argentina,2.81,1997
43,Vietnam,2.79,1997
44,Venezuela,2.77,1997
45,India,2.75,1997
46,Indonesia,2.72,1997
47,Mexico,2.66,1997
48,Pakistan,2.53,1997
49,Russia,2.27,1997
50,Colombia,2.23,1997
51,Bolivia,2.05,1997
52,Nigeria,1.76,1997
