Rank,Country,CPI,Year
1,Finland,9.6,2006
1,Iceland,9.6,2006
1,New Zealand,9.6,2006
4,Denmark,9.5,2006
5,Singapore,9.4,2006
6,Sweden,9.2,2006
7,Switzerland,9.1,2006
8,Norway,8.8,2006
9,Australia,8.7,2006
9,Netherlands,8.7,2006
11,Austria,8.6,2006
11,Luxembourg,8.6,2006
11,United Kingdom,8.6,2006
14,Canada,8.5,2006
15,Hong Kong,8.3,2006
16,Germany,8,2006
17,Japan,7.6,2006
18,France,7.4,2006
18,Ireland,7.4,2006
20,Belgium,7.3,2006
20,Chile,7.3,2006
20,USA,7.3,2006
23,Spain,6.8,2006
24,Barbados,6.7,2006
24,Estonia,6.7,2006
26,Macau,6.6,2006
26,Portugal,6.6,2006
28,Malta,6.4,2006
28,Slovenia,6.4,2006
28,Uruguay,6.4,2006
31,United Arab Emirates,6.2,2006
32,Bhutan,6,2006
32,Qatar,6,2006
34,Israel,5.9,2006
34,Taiwan,5.9,2006
36,Bahrain,5.7,2006
37,Botswana,5.6,2006
37,Cyprus,5.6,2006
39,Oman,5.4,2006
40,Jordan,5.3,2006
41,Hungary,5.2,2006
42,Mauritius,5.1,2006
42,South Korea,5.1,2006
44,Malaysia,5,2006
45,Italy,4.9,2006
46,Czech Republic,4.8,2006
46,Kuwait,4.8,2006
46,Lithuania,4.8,2006
49,Latvia,4.7,2006
49,Slovakia,4.7,2006
51,South Africa,4.6,2006
51,Tunisia,4.6,2006
53,Dominica,4.5,2006
54,Greece,4.4,2006
55,Costa Rica,4.1,2006
55,Namibia,4.1,2006
57,Bulgaria,4,2006
57,El Salvador,4,2006
59,Colombia,3.9,2006
60,Turkey,3.8,2006
61,Jamaica,3.7,2006
61,Poland,3.7,2006
63,Lebanon,3.6,2006
63,Seychelles,3.6,2006
63,Thailand,3.6,2006
66,Belize,3.5,2006
66,Cuba,3.5,2006
66,Grenada,3.5,2006
69,Croatia,3.4,2006
70,Brazil,3.3,2006
70,China,3.3,2006
70,Egypt,3.3,2006
70,Ghana,3.3,2006
70,India,3.3,2006
70,Mexico,3.3,2006
70,Peru,3.3,2006
70,Saudi Arabia,3.3,2006
70,Senegal,3.3,2006
79,Burkina Faso,3.2,2006
79,Lesotho,3.2,2006
79,Moldova,3.2,2006
79,Morocco,3.2,2006
79,Trinidad and Tobago,3.2,2006
84,Algeria,3.1,2006
84,Madagascar,3.1,2006
84,Mauritania,3.1,2006
84,Panama,3.1,2006
84,Romania,3.1,2006
84,Sri Lanka,3.1,2006
90,Gabon,3,2006
90,Serbia,3,2006
90,Suriname,3,2006
93,Argentina,2.9,2006
93,Armenia,2.9,2006
93,Bosnia and Herzgegovina,2.9,2006
93,Eritrea,2.9,2006
93,Syria,2.9,2006
93,Tanzania,2.9,2006
99,Dominican Republic,2.8,2006
99,Georgia,2.8,2006
99,Mali,2.8,2006
99,Mongolia,2.8,2006
99,Mozambique,2.8,2006
99,Ukraine,2.8,2006
105,Bolivia,2.7,2006
105,Iran,2.7,2006
105,Libya,2.7,2006
105,Macedonia,2.7,2006
105,Malawi,2.7,2006
105,Uganda,2.7,2006
111,Albania,2.6,2006
111,Guatemala,2.6,2006
111,Kazakhstan,2.6,2006
111,Laos,2.6,2006
111,Nicaragua,2.6,2006
111,Paraguay,2.6,2006
111,Timor-Leste,2.6,2006
111,Viet Nam,2.6,2006
111,Yemen,2.6,2006
111,Zambia,2.6,2006
121,Benin,2.5,2006
121,Gambia,2.5,2006
121,Guyana,2.5,2006
121,Honduras,2.5,2006
121,Nepal,2.5,2006
121,Philippines,2.5,2006
121,Russia,2.5,2006
121,Rwanda,2.5,2006
121,Swaziland,2.5,2006
130,Azerbaijan,2.4,2006
130,Burundi,2.4,2006
130,Central African Republic,2.4,2006
130,Ethiopia,2.4,2006
130,Indonesia,2.4,2006
130,Papua New Guinea,2.4,2006
130,Togo,2.4,2006
130,Zimbabwe,2.4,2006
138,Cameroon,2.3,2006
138,Ecuador,2.3,2006
138,Niger,2.3,2006
138,Venezuela,2.3,2006
142,Angola,2.2,2006
142,"Congo, Republic",2.2,2006
142,Kenya,2.2,2006
142,Kyrgyzstan,2.2,2006
142,Nigeria,2.2,2006
142,Pakistan,2.2,2006
142,Sierra Leone,2.2,2006
142,Tajikistan,2.2,2006
142,Turkmenistan,2.2,2006
151,Belarus,2.1,2006
151,Cambodia,2.1,2006
151,Côte d´Ivoire,2.1,2006
151,Equatorial Guinea,2.1,2006
151,Uzbekistan,2.1,2006
156,Bangladesh,2,2006
156,Chad,2,2006
156,"Congo, Democratic Republic",2,2006
156,Sudan,2,2006
160,Guinea,1.9,2006
160,Iraq,1.9,2006
160,Myanmar,1.9,2006
163,Haiti,1.8,2006
