Rank,Country,CPI
1,New Zealand,9.43
2,Denmark,9.33
3,Sweden,9.08
4,Finland,9.05
5,Canada,8.96
6,Norway,8.87
7,Singapore,8.8
8,Switzerland,8.76
9,Netherlands,8.71
10,Australia,8.6
11,Ireland,8.45
12,Unit.Kingd.,8.44
13,Germany,8.27
14,Israel,7.71
15,USA,7.66
16,Austria,7.59
17,Japan,7.05
18,Hong Kong,7.01
19,France,6.96
20,Belgium,6.84
21,Chile,6.8
22,Portugal,6.53
23,South Africa,5.68
24,Poland,5.57
25,Czech Rep.,5.37
26,Malaysia,5.32
27,South Korea,5.02
28,Greece,5.01
29,Taiwan,4.98
30,Jordan,4.89
31,Hungary,4.86
32,Spain,4.31
33,Turkey,3.54
34,Italy,3.42
35,Argentina,3.41
36,Bolivia,3.4
37,Thailand,3.33
38,Mexico,3.3
39,Ecuador,3.19
40,Brazil,2.96
41,Egypt,2.84
42,Colombia,2.73
43,Uganda,2.71
44,Philippines,2.69
45,Indonesia,2.65
46,India,2.63
47,Russia,2.58
48,Venezuela,2.5
49,Cameroon,2.46
50,China,2.43
51,Bangladesh,2.29
52,Kenya,2.21
53,Pakistan,1
54,Nigeria,0.69
