Rank,Country,CPI
1,Denmark,10
2,Finland,9.6
3,Sweden,9.5
4,New Zealand,9.4
5,Iceland,9.3
6,Canada,9.2
7,Singapore,9.1
8,Netherlands,9
8,Norway,9
10,Switzerland,8.9
11,Australia,8.7
11,Luxembourg,8.7
11,United Kingdom,8.7
14,Ireland,8.2
15,Germany,7.9
16,Hong Kong,7.8
17,Austria,7.5
17,United States,7.5
19,Israel,7.1
20,Chile,6.8
21,France,6.7
22,Portugal,6.5
23,Botswana,6.1
23,Spain,6.1
25,Japan,5.8
26,Estonia,5.7
27,Costa Rica,5.6
28,Belgium,5.4
29,Malaysia,5.3
29,Namibia,5.3
29,Taiwan,5.3
32,South Africa,5.2
33,Hungary,5
33,Mauritius,5
33,Tunisia,5
36,Greece,4.9
37,Czech Republic,4.8
38,Jordan,4.7
39,Italy,4.6
39,Poland,4.6
41,Peru,4.5
42,Uruguay,4.3
43,South Korea,4.2
43,Zimbabwe,4.2
45,Malawi,4.1
46,Brazil,4
47,Belarus,3.9
47,Slovak Republic,3.9
49,Jamaica,3.8
50,Morocco,3.7
51,El Salvador,3.6
52,China,3.5
52,Zambia,3.5
54,Turkey,3.4
55,Ghana,3.3
55,Mexico,3.3
55,Philippines,3.3
55,Senegal,3.3
59,Ivory Coast,3.1
59,Guatemala,3.1
61,Argentina,3
61,Nicaragua,3
61,Romania,3
61,Thailand,3
61,Yugoslavia,3
66,Bulgaria,2.9
66,Egypt,2.9
66,India,2.9
69,Bolivia,2.8
69,Ukraine,2.8
71,Latvia,2.7
71,Pakistan,2.7
73,Uganda,2.6
74,Kenya,2.5
74,Vietnam,2.5
76,Russia,2.4
77,Ecuador,2.3
77,Venezuela,2.3
79,Colombia,2.2
80,Indonesia,2
81,Nigeria,1.9
81,Tanzania,1.9
83,Honduras,1.7
84,Paraguay,1.5
85,Cameroon,1.4
