Rank,Country,CPI,Year
1,Denmark,10,1999
2,Finland,9.8,1999
3,New Zealand,9.4,1999
3,Sweden,9.4,1999
5,Canada,9.2,1999
5,Iceland,9.2,1999
7,Singapore,9.1,1999
8,Netherlands,9,1999
9,Norway,8.9,1999
9,Switzerland,8.9,1999
11,Luxembourg,8.8,1999
12,Australia,8.7,1999
13,United Kingdom,8.6,1999
14,Germany,8,1999
15,Hong Kong,7.7,1999
15,Ireland,7.7,1999
17,Austria,7.6,1999
18,USA,7.5,1999
19,Chile,6.9,1999
20,Israel,6.8,1999
21,Portugal,6.7,1999
22,France,6.6,1999
22,Spain,6.6,1999
24,Botswana,6.1,1999
25,Japan,6,1999
25,Slovenia,6,1999
27,Estonia,5.7,1999
28,Taiwan,5.6,1999
29,Belgium,5.3,1999
29,Namibia,5.3,1999
31,Hungary,5.2,1999
32,Costa Rica,5.1,1999
32,Malaysia,5.1,1999
34,South Africa,5,1999
34,Tunisia,5,1999
36,Greece,4.9,1999
36,Mauritius,4.9,1999
38,Italy,4.7,1999
39,Czech Republic,4.6,1999
40,Peru,4.5,1999
41,Jordan,4.4,1999
41,Uruguay,4.4,1999
43,Mongolia,4.3,1999
44,Poland,4.2,1999
45,Brazil,4.1,1999
45,Malawi,4.1,1999
45,Morocco,4.1,1999
45,Zimbabwe,4.1,1999
49,El Salvador,3.9,1999
50,Jamaica,3.8,1999
50,Lithuania,3.8,1999
50,South Korea,3.8,1999
53,Slovak Republic,3.7,1999
54,Philippines,3.6,1999
54,Turkey,3.6,1999
56,Mozambique,3.5,1999
56,Zambia,3.5,1999
58,Belarus,3.4,1999
58,China,3.4,1999
58,Latvia,3.4,1999
58,Mexico,3.4,1999
58,Senegal,3.4,1999
63,Bulgaria,3.3,1999
63,Egypt,3.3,1999
63,Ghana,3.3,1999
63,Macedonia,3.3,1999
63,Romania,3.3,1999
68,Guatemala,3.2,1999
68,Thailand,3.2,1999
70,Nicaragua,3.1,1999
71,Argentina,3,1999
72,Colombia,2.9,1999
72,India,2.9,1999
74,Croatia,2.7,1999
75,Ivory Coast,2.6,1999
75,Moldova,2.6,1999
75,Ukraine,2.6,1999
75,Venezuela,2.6,1999
75,Vietnam,2.6,1999
80,Armenia,2.5,1999
80,Bolivia,2.5,1999
82,Ecuador,2.4,1999
82,Russia,2.4,1999
84,Albania,2.3,1999
84,Georgia,2.3,1999
84,Kazakhstan,2.3,1999
87,Kyrgyz Republic,2.2,1999
87,Pakistan,2.2,1999
87,Uganda,2.2,1999
90,Kenya,2,1999
90,Paraguay,2,1999
90,Yugoslavia,2,1999
93,Tanzania,1.9,1999
94,Honduras,1.8,1999
94,Uzbekistan,1.8,1999
96,Azerbaijan,1.7,1999
96,Indonesia,1.7,1999
98,Nigeria,1.6,1999
99,Cameroon,1.5,1999
