Rank,Country,CPI,Year
1,Finland,9.7,2002
2,Denmark,9.5,2002
2,New Zealand,9.5,2002
4,Iceland,9.4,2002
5,Singapore,9.3,2002
5,Sweden,9.3,2002
7,Canada,9,2002
7,Luxembourg,9,2002
7,Netherlands,9,2002
10,United Kingdom,8.7,2002
11,Australia,8.6,2002
12,Norway,8.5,2002
12,Switzerland,8.5,2002
14,Hong Kong,8.2,2002
15,Austria,7.8,2002
16,USA,7.7,2002
17,Chile,7.5,2002
18,Germany,7.3,2002
18,Israel,7.3,2002
20,Belgium,7.1,2002
20,Japan,7.1,2002
20,Spain,7.1,2002
23,Ireland,6.9,2002
24,Botswana,6.4,2002
25,France,6.3,2002
25,Portugal,6.3,2002
27,Slovenia,6,2002
28,Namibia,5.7,2002
29,Estonia,5.6,2002
29,Taiwan,5.6,2002
31,Italy,5.2,2002
32,Uruguay,5.1,2002
33,Hungary,4.9,2002
33,Malaysia,4.9,2002
33,Trinidad & Tobago,4.9,2002
36,Belarus,4.8,2002
36,Lithuania,4.8,2002
36,South Africa,4.8,2002
36,Tunisia,4.8,2002
40,Costa Rica,4.5,2002
40,Jordan,4.5,2002
40,Mauritius,4.5,2002
40,South Korea,4.5,2002
44,Greece,4.2,2002
45,Brazil,4,2002
45,Bulgaria,4,2002
45,Jamaica,4,2002
45,Peru,4,2002
45,Poland,4,2002
50,Ghana,3.9,2002
51,Croatia,3.8,2002
52,Czech Republic,3.7,2002
52,Latvia,3.7,2002
52,Morocco,3.7,2002
52,Slovak Republic,3.7,2002
52,Sri Lanka,3.7,2002
57,Colombia,3.6,2002
57,Mexico,3.6,2002
59,China,3.5,2002
59,Dominican Rep.,3.5,2002
59,Ethiopia,3.5,2002
62,Egypt,3.4,2002
62,El Salvador,3.4,2002
64,Thailand,3.2,2002
64,Turkey,3.2,2002
66,Senegal,3.1,2002
67,Panama,3,2002
68,Malawi,2.9,2002
68,Uzbekistan,2.9,2002
70,Argentina,2.8,2002
71,Cote d'Ivoire,2.7,2002
71,Honduras,2.7,2002
71,India,2.7,2002
71,Russia,2.7,2002
71,Tanzania,2.7,2002
71,Zimbabwe,2.7,2002
77,Pakistan,2.6,2002
77,Philippines,2.6,2002
77,Romania,2.6,2002
77,Zambia,2.6,2002
81,Albania,2.5,2002
81,Guatemala,2.5,2002
81,Nicaragua,2.5,2002
81,Venezuela,2.5,2002
85,Georgia,2.4,2002
85,Ukraine,2.4,2002
85,Vietnam,2.4,2002
88,Kazakhstan,2.3,2002
89,Bolivia,2.2,2002
89,Cameroon,2.2,2002
89,Ecuador,2.2,2002
89,Haiti,2.2,2002
93,Moldova,2.1,2002
93,Uganda,2.1,2002
95,Azerbaijan,2,2002
96,Indonesia,1.9,2002
96,Kenya,1.9,2002
98,Angola,1.7,2002
98,Madagascar,1.7,2002
98,Paraguay,1.7,2002
101,Nigeria,1.6,2002
102,Bangladesh,1.2,2002
