Rank,Country,CPI,Year,,
1,Finland,9.7,2003,,
2,Iceland,9.6,2003,,
3,Denmark,9.5,2003,,
3,New Zealand,9.5,2003,,
5,Singapore,9.4,2003,,
6,Sweden,9.3,2003,,
7,Netherlands,8.9,2003,,
8,Australia,8.8,2003,,
8,Norway,8.8,2003,,
8,Switzerland,8.8,2003,,
11,Canada,8.7,2003,,
11,Luxembourg,8.7,2003,,
11,United Kingdom,8.7,2003,,
14,Austria,8,2003,,
14,Hong Kong,8,2003,,
16,Germany,7.7,2003,,
17,Belgium,7.6,2003,,
18,Ireland,7.5,2003,,
18,USA,7.5,2003,,
20,Chile,7.4,2003,,
21,Israel,7,2003,,
21,Japan,7,2003,,
23,France,6.9,2003,,
23,Spain,6.9,2003,,
25,Portugal,6.6,2003,,
26,Oman,6.3,2003,,
27,Bahrain,6.1,2003,,
27,Cyprus,6.1,2003,,
29,Slovenia,5.9,2003,,
30,Botswana,5.7,2003,,
30,Taiwan,5.7,2003,,
32,Qatar,5.6,2003,,
33,Estonia,5.5,2003,,
33,Uruguay,5.5,2003,,
35,Italy,5.3,2003,,
35,Kuwait,5.3,2003,,
37,Malaysia,5.2,2003,,
37,United Arab Emirates,5.2,2003,,
39,Tunisia,4.9,2003,,
40,Hungary,4.8,2003,,
41,Lithuania,4.7,2003,,
41,Namibia,4.7,2003,,
43,Cuba,4.6,2003,,
43,Jordan,4.6,2003,,
43,Trinidad and Tobago,4.6,2003,,
46,Belize,4.5,2003,,
46,Saudi Arabia,4.5,2003,,
48,Mauritius,4.4,2003,,
48,South Africa,4.4,2003,,
50,Costa Rica,4.3,2003,,
50,Greece,4.3,2003,,
50,South Korea,4.3,2003,,
53,Belarus,4.2,2003,,
54,Brazil,3.9,2003,,
54,Bulgaria,3.9,2003,,
54,Czech Republic,3.9,2003,,
57,Jamaica,3.8,2003,,
57,Latvia,3.8,2003,,
59,Colombia,3.7,2003,,
59,Croatia,3.7,2003,,
59,El Salvador,3.7,2003,,
59,Peru,3.7,2003,,
59,Slovakia,3.7,2003,,
64,Mexico,3.6,2003,,
64,Poland,3.6,2003,,
66,China,3.4,2003,,
66,Panama,3.4,2003,,
66,Sri Lanka,3.4,2003,,
66,Syria,3.4,2003,,
70,Bosnia & Herzegovina,3.3,2003,,
70,Dominican Republic,3.3,2003,,
70,Egypt,3.3,2003,,
70,Ghana,3.3,2003,,
70,Morocco,3.3,2003,,
70,Thailand,3.3,2003,,
70,Senegal,3.2,2003,,
77,Turkey,3.1,2003,,
78,Armenia,3,2003,,
78,Iran,3,2003,,
78,Lebanon,3,2003,,
78,Mali,3,2003,,
78,Palestine,3,2003,,
83,India,2.8,2003,,
83,Malawi,2.8,2003,,
83,Romania,2.8,2003,,
86,Mozambique,2.7,2003,,
86,Russia,2.7,2003,,
88,Algeria,2.6,2003,,
88,Madagascar,2.6,2003,,
88,Nicaragua,2.6,2003,,
88,Yemen,2.6,2003,,
92,Albania,2.5,2003,,
92,Argentina,2.5,2003,,
92,Ethiopia,2.5,2003,,
92,Gambia,2.5,2003,,
92,Pakistan,2.5,2003,,
92,Philippines,2.5,2003,,
92,Tanzania,2.5,2003,,
92,Zambia,2.5,2003,,
100,Guatemala,2.4,2003,,
100,Kazakhstan,2.4,2003,,
100,Moldova,2.4,2003,,
100,Uzbekistan,2.4,2003,,
100,Venezuela,2.4,2003,,
100,Vietnam,2.4,2003,,
106,Bolivia,2.3,2003,,
106,Honduras,2.3,2003,,
106,Macedonia,2.3,2003,,
106,Serbia and Montenegro,2.3,2003,,
106,Sudan,2.3,2003,,
106,Ukraine,2.3,2003,,
106,Zimbabwe,2.3,2003,,
113,"Congo, Republic of the",2.2,2003,,
113,Ecuador,2.2,2003,,
113,Iraq,2.2,2003,,
113,Sierra Leone,2.2,2003,,
113,Uganda,2.2,2003,,
118,Cote d'Ivoire,2.1,2003,,
118,Kyrgyzstan,2.1,2003,,
118,Libya,2.1,2003,,
118,Papua New Guinea,2.1,2003,,
122,Indonesia,1.9,2003,,
122,Kenya,1.9,2003,,
124,Angola,1.8,2003,,
124,Azerbaijan,1.8,2003,,
124,Cameroon,1.8,2003,,
124,Georgia,1.8,2003,,
124,Tajikistan,1.8,2003,,
129,Myanmar,1.6,2003,,
129,Paraguay,1.6,2003,,
131,Haiti,1.5,2003,,
132,Nigeria,1.4,2003,,
133,Bangladesh,1.3,2003,,
,,,,,
