Rank,Country,X,CPI,Year,ID
1,Denmark,EU,90,2012,DNK
1,Finland,EU,90,2012,FIN
1,New Zealand,AP,90,2012,NZL
4,Sweden,EU,88,2012,SWE
5,Singapore,AP,87,2012,SGP
6,Switzerland,EU,86,2012,CHE
7,Australia,AP,85,2012,AUS
7,Norway,EU,85,2012,NOR
9,Canada,AM,84,2012,CAN
9,Netherlands,EU,84,2012,NLD
11,Iceland,EU,82,2012,ISL
12,Luxembourg,EU,80,2012,LUX
13,Germany,EU,79,2012,DEU
14,Hong Kong,AP,77,2012,HKG
15,Barbados,AM,76,2012,BRB
16,Belgium,EU,75,2012,BEL
17,Japan,AP,74,2012,JPN
17,United Kingdom,EU,74,2012,GBR
19,United States,AM,73,2012,USA
20,Chile,AM,72,2012,CHL
20,Uruguay,AM,72,2012,URY
22,Bahamas,AM,71,2012,BHS
22,France,EU,71,2012,FRA
22,Saint Lucia,AM,71,2012,LCA
25,Austria,EU,69,2012,AUT
25,Ireland,EU,69,2012,IRL
27,Qatar,ME,68,2012,QAT
27,United Arab Emirates,ME,68,2012,ARE
29,Cyprus,EU,66,2012,CYP
30,Botswana,AF,65,2012,BWA
30,Spain,EU,65,2012,ESP
32,Estonia,EU,64,2012,EST
33,Bhutan,AP,63,2012,BTN
33,Portugal,EU,63,2012,PRT
33,Puerto Rico,AM,63,2012,PRI
36,Saint Vincent and the Grenadines,AM,62,2012,VCT
37,Slovenia,EU,61,2012,SVN
37,Taiwan,AP,61,2012,TWN
39,Cape Verde,AF,60,2012,CPV
39,Israel,ME,60,2012,ISR
41,Dominica,AM,58,2012,DMA
41,Poland,EU,58,2012,POL
43,Malta,EU,57,2012,MLT
43,Mauritius,AF,57,2012,MUS
45,South Korea,AP,56,2012,KOR
46,Brunei,AP,55,2012,BRN
46,Hungary,EU,55,2012,HUN
48,Costa Rica,AM,54,2012,CRI
48,Lithuania,EU,54,2012,LTU
50,Rwanda,AF,53,2012,RWA
51,Georgia,EE,52,2012,GEO
51,Seychelles,AF,52,2012,SYC
53,Bahrain,ME,51,2012,BHR
54,Czech Republic,EU,49,2012,CZE
54,Latvia,EU,49,2012,LVA
54,Malaysia,AP,49,2012,MYS
54,Turkey,EE,49,2012,TUR
58,Cuba,AM,48,2012,CUB
58,Jordan,ME,48,2012,JOR
58,Namibia,AF,48,2012,NAM
61,Oman,ME,47,2012,OMN
62,Croatia,EE,46,2012,HRV
62,Slovakia,EU,46,2012,SVK
64,Ghana,AF,45,2012,GHA
64,Lesotho,AF,45,2012,LSO
66,Kuwait,ME,44,2012,KWT
66,Romania,EU,44,2012,ROU
66,Saudi Arabia,ME,44,2012,SAU
69,Brazil,AM,43,2012,BRA
69,Macedonia,EE,43,2012,MKD
69,South Africa,AF,43,2012,ZAF
72,Bosnia and Herzegovina,EE,42,2012,BIH
72,Italy,EU,42,2012,ITA
72,Sao Tome and Principe,AF,42,2012,STP
75,Bulgaria,EU,41,2012,BGR
75,Liberia,AF,41,2012,LBR
75,Montenegro,EE,41,2012,MNE
75,Tunisia,ME,41,2012,TUN
79,Sri Lanka,AP,40,2012,LKA
80,China,AP,39,2012,CHN
80,Serbia,EE,39,2012,SRB
80,Trinidad and Tobago,AM,39,2012,TTO
83,Burkina Faso,AF,38,2012,BFA
83,El Salvador,AM,38,2012,SLV
83,Jamaica,AM,38,2012,JAM
83,Panama,AM,38,2012,PAN
83,Peru,AM,38,2012,PER
88,Malawi,AF,37,2012,MWI
88,Morocco,ME,37,2012,MAR
88,Suriname,AM,37,2012,SUR
88,Swaziland,AF,37,2012,SWZ
88,Thailand,AP,37,2012,THA
88,Zambia,AF,37,2012,ZMB
