Rank,Country,CPI,Year
1,Denmark,10,1998
2,Finland,9.6,1998
3,Sweden,9.5,1998
4,New Zealand,9.4,1998
5,Iceland,9.3,1998
6,Canada,9.2,1998
7,Singapore,9.1,1998
8,Netherlands,9,1998
8,Norway,9,1998
10,Switzerland,8.9,1998
11,Australia,8.7,1998
11,Luxembourg,8.7,1998
11,United Kingdom,8.7,1998
14,Ireland,8.2,1998
15,Germany,7.9,1998
16,Hong Kong,7.8,1998
17,Austria,7.5,1998
17,United States,7.5,1998
19,Israel,7.1,1998
20,Chile,6.8,1998
21,France,6.7,1998
22,Portugal,6.5,1998
23,Botswana,6.1,1998
23,Spain,6.1,1998
25,Japan,5.8,1998
26,Estonia,5.7,1998
27,Costa Rica,5.6,1998
28,Belgium,5.4,1998
29,Malaysia,5.3,1998
29,Namibia,5.3,1998
29,Taiwan,5.3,1998
32,South Africa,5.2,1998
33,Hungary,5,1998
33,Mauritius,5,1998
33,Tunisia,5,1998
36,Greece,4.9,1998
37,Czech Republic,4.8,1998
38,Jordan,4.7,1998
39,Italy,4.6,1998
39,Poland,4.6,1998
41,Peru,4.5,1998
42,Uruguay,4.3,1998
43,South Korea,4.2,1998
43,Zimbabwe,4.2,1998
45,Malawi,4.1,1998
46,Brazil,4,1998
47,Belarus,3.9,1998
47,Slovak Republic,3.9,1998
49,Jamaica,3.8,1998
50,Morocco,3.7,1998
51,El Salvador,3.6,1998
52,China,3.5,1998
52,Zambia,3.5,1998
54,Turkey,3.4,1998
55,Ghana,3.3,1998
55,Mexico,3.3,1998
55,Philippines,3.3,1998
55,Senegal,3.3,1998
59,Ivory Coast,3.1,1998
59,Guatemala,3.1,1998
61,Argentina,3,1998
61,Nicaragua,3,1998
61,Romania,3,1998
61,Thailand,3,1998
61,Yugoslavia,3,1998
66,Bulgaria,2.9,1998
66,Egypt,2.9,1998
66,India,2.9,1998
69,Bolivia,2.8,1998
69,Ukraine,2.8,1998
71,Latvia,2.7,1998
71,Pakistan,2.7,1998
73,Uganda,2.6,1998
74,Kenya,2.5,1998
74,Vietnam,2.5,1998
76,Russia,2.4,1998
77,Ecuador,2.3,1998
77,Venezuela,2.3,1998
79,Colombia,2.2,1998
80,Indonesia,2,1998
81,Nigeria,1.9,1998
81,Tanzania,1.9,1998
83,Honduras,1.7,1998
84,Paraguay,1.5,1998
85,Cameroon,1.4,1998
