Rank,Country,CPI,Year
1,Finland,10,2000
2,Denmark,9.8,2000
3,New Zealand,9.4,2000
3,Sweden,9.4,2000
5,Canada,9.2,2000
6,Iceland,9.1,2000
6,Norway,9.1,2000
6,Singapore,9.1,2000
9,Netherlands,8.9,2000
10,United Kingdom,8.7,2000
11,Luxembourg,8.6,2000
11,Switzerland,8.6,2000
13,Australia,8.3,2000
14,USA,7.8,2000
15,Austria,7.7,2000
15,Hong Kong,7.7,2000
17,Germany,7.6,2000
18,Chile,7.4,2000
19,Ireland,7.2,2000
20,Spain,7,2000
21,France,6.7,2000
22,Israel,6.6,2000
23,Japan,6.4,2000
23,Portugal,6.4,2000
25,Belgium,6.1,2000
26,Botswana,6,2000
27,Estonia,5.7,2000
28,Slovenia,5.5,2000
28,Taiwan,5.5,2000
30,Costa Rica,5.4,2000
30,Namibia,5.4,2000
32,Hungary,5.2,2000
32,Tunisia,5.2,2000
34,South Africa,5,2000
35,Greece,4.9,2000
36,Malaysia,4.8,2000
37,Mauritius,4.7,2000
37,Morocco,4.7,2000
39,Italy,4.6,2000
39,Jordan,4.6,2000
41,Peru,4.4,2000
42,Czech Republic,4.3,2000
43,Belarus,4.1,2000
43,El Salvador,4.1,2000
43,Lithuania,4.1,2000
43,Malawi,4.1,2000
43,Poland,4.1,2000
48,South Korea,4,2000
49,Brazil,3.9,2000
50,Turkey,3.8,2000
51,Croatia,3.7,2000
52,Argentina,3.5,2000
52,Bulgaria,3.5,2000
52,Ghana,3.5,2000
52,Senegal,3.5,2000
52,Slovak Republic,3.5,2000
57,Latvia,3.4,2000
57,Zambia,3.4,2000
59,Mexico,3.3,2000
60,Colombia,3.2,2000
60,Ethiopia,3.2,2000
60,Thailand,3.2,2000
63,China,3.1,2000
63,Egypt,3.1,2000
65,Burkina Faso,3,2000
65,Kazakhstan,3,2000
65,Zimbabwe,3,2000
68,Romania,2.9,2000
69,India,2.8,2000
69,Philippines,2.8,2000
71,Bolivia,2.7,2000
71,Côte-d'Ivoire,2.7,2000
71,Venezuela,2.7,2000
74,Ecuador,2.6,2000
74,Moldova,2.6,2000
76,Armenia,2.5,2000
76,Tanzania,2.5,2000
76,Vietnam,2.5,2000
79,Uzbekistan,2.4,2000
80,Uganda,2.3,2000
81,Mozambique,2.2,2000
82,Kenya,2.1,2000
82,Russia,2.1,2000
84,Cameroon,2,2000
85,Angola,1.7,2000
85,Indonesia,1.7,2000
87,Azerbaijan,1.5,2000
87,Ukraine,1.5,2000
89,Yugoslavia,1.3,2000
90,Nigeria,1.2,2000
