Rank,Country,CPI,Year,
1,Finland,9.7,2004,
2,New Zealand,9.6,2004,
3,Denmark,9.5,2004,
3,Iceland,9.5,2004,
5,Singapore,9.3,2004,
6,Sweden,9.2,2004,
7,Switzerland,9.1,2004,
8,Norway,8.9,2004,
9,Australia,8.8,2004,
10,Netherlands,8.7,2004,
11,United Kingdom,8.6,2004,
12,Canada,8.5,2004,
13,Austria,8.4,2004,
13,Luxembourg,8.4,2004,
15,Germany,8.2,2004,
16,Hong Kong,8,2004,
17,Belgium,7.5,2004,
17,Ireland,7.5,2004,
17,USA,7.5,2004,
20,Chile,7.4,2004,
21,Barbados,7.3,2004,
22,France,7.1,2004,
22,Spain,7.1,2004,
24,Japan,6.9,2004,
25,Malta,6.8,2004,
26,Israel,6.4,2004,
27,Portugal,6.3,2004,
28,Uruguay,6.2,2004,
29,Oman,6.1,2004,
29,United Arab Emirates,6.1,2004,
31,Botswana,6,2004,
31,Estonia,6,2004,
31,Slovenia,6,2004,
34,Bahrain,5.8,2004,
35,Taiwan,5.6,2004,
36,Cyprus,5.4,2004,
37,Jordan,5.3,2004,
38,Qatar,5.2,2004,
39,Malaysia,5,2004,
39,Tunisia,5,2004,
41,Costa Rica,4.9,2004,
42,Hungary,4.8,2004,
42,Italy,4.8,2004,
44,Kuwait,4.6,2004,
44,Lithuania,4.6,2004,
44,South Africa,4.6,2004,
47,South Korea,4.5,2004,
48,Seychelles,4.4,2004,
49,Greece,4.3,2004,
49,Suriname,4.3,2004,
51,Czech Republic,4.2,2004,
51,El Salvador,4.2,2004,
51,Trinidad and Tobago,4.2,2004,
54,Bulgaria,4.1,2004,
54,Mauritius,4.1,2004,
54,Namibia,4.1,2004,
57,Latvia,4,2004,
57,Slovakia,4,2004,
59,Brazil,3.9,2004,
60,Belize,3.8,2004,
60,Colombia,3.8,2004,
62,Cuba,3.7,2004,
62,Panama,3.7,2004,
64,Ghana,3.6,2004,
64,Mexico,3.6,2004,
64,Thailand,3.6,2004,
67,Croatia,3.5,2004,
67,Peru,3.5,2004,
67,Poland,3.5,2004,
67,Sri Lanka,3.5,2004,
71,China,3.4,2004,
71,Saudi Arabia,3.4,2004,
71,Syria,3.4,2004,
74,Belarus,3.3,2004,
74,Gabon,3.3,2004,
74,Jamaica,3.3,2004,
77,Benin,3.2,2004,
77,Egypt,3.2,2004,
77,Mali,3.2,2004,
77,Morocco,3.2,2004,
77,Turkey,3.2,2004,
82,Armenia,3.1,2004,
82,Bosnia and Herzegovina,3.1,2004,
82,Madagascar,3.1,2004,
85,Mongolia,3,2004,
85,Senegal,3,2004,
87,Dominican Republic,2.9,2004,
87,Iran,2.9,2004,
87,Romania,2.9,2004,
90,Gambia,2.8,2004,
90,India,2.8,2004,
90,Malawi,2.8,2004,
90,Mozambique,2.8,2004,
90,Nepal,2.8,2004,
90,Russia,2.8,2004,
90,Tanzania,2.8,2004,
97,Algeria,2.7,2004,
97,Lebanon,2.7,2004,
97,Macedonia,2.7,2004,
97,Nicaragua,2.7,2004,
97,Serbia and Montenegro,2.7,2004,
102,Eritrea,2.6,2004,
102,Papua New Guinea,2.6,2004,
102,Philippines,2.6,2004,
102,Uganda,2.6,2004,
102,Vietnam,2.6,2004,
102,Zambia,2.6,2004,
108,Albania,2.5,2004,
108,Argentina,2.5,2004,
108,Libya,2.5,2004,
108,Palestinian Authority,2.5,2004,
112,Ecuador,2.4,2004,
112,Yemen,2.4,2004,
114,Congo. Republic of,2.3,2004,
114,Ethiopia,2.3,2004,
114,Honduras,2.3,2004,
114,Moldova,2.3,2004,
114,Sierra Leone,2.3,2004,
114,Uzbekistan,2.3,2004,
114,Venezuela,2.3,2004,
114,Zimbabwe,2.3,2004,
122,Bolivia,2.2,2004,
122,Guatemala,2.2,2004,
122,Kazakhstan,2.2,2004,
122,Kyrgyzstan,2.2,2004,
122,Niger,2.2,2004,
122,Sudan,2.2,2004,
122,Ukraine,2.2,2004,
129,Cameroon,2.1,2004,
129,Iraq,2.1,2004,
129,Kenya,2.1,2004,
129,Pakistan,2.1,2004,
133,Angola,2,2004,
133,Congo. Democratic Republic,2,2004,
133,Cote d´Ivoire,2,2004,
133,Georgia,2,2004,
133,Indonesia,2,2004,
133,Tajikistan,2,2004,
133,Turkmenistan,2,2004,
140,Azerbaijan,1.9,2004,
140,Paraguay,1.9,2004,
142,Chad,1.7,2004,
142,Myanmar,1.7,2004,
144,Nigeria,1.6,2004,
145,Bangladesh,1.5,2004,
145,Haiti,1.5,2004,
