Rank,Country,CPI,Year
1,Iceland,9.7,2005
2,Finland,9.6,2005
2,New Zealand,9.6,2005
4,Denmark,9.5,2005
5,Singapore,9.4,2005
6,Sweden,9.2,2005
7,Switzerland,9.1,2005
8,Norway,8.9,2005
9,Australia,8.8,2005
10,Austria,8.7,2005
11,Netherlands,8.6,2005
11,United Kingdom,8.6,2005
13,Luxembourg,8.5,2005
14,Canada,8.4,2005
15,Hong Kong,8.3,2005
16,Germany,8.2,2005
17,USA,7.6,2005
18,France,7.5,2005
19,Belgium,7.4,2005
19,Ireland,7.4,2005
21,Chile,7.3,2005
21,Japan,7.3,2005
23,Spain,7,2005
24,Barbados,6.9,2005
25,Malta,6.6,2005
26,Portugal,6.5,2005
27,Estonia,6.4,2005
28,Israel,6.3,2005
28,Oman,6.3,2005
30,United Arab Emirates,6.2,2005
31,Slovenia,6.1,2005
32,Botswana,5.9,2005
32,Qatar,5.9,2005
32,Taiwan,5.9,2005
32,Uruguay,5.9,2005
36,Bahrain,5.8,2005
37,Cyprus,5.7,2005
37,Jordan,5.7,2005
39,Malaysia,5.1,2005
40,Hungary,5,2005
40,Italy,5,2005
40,South Korea,5,2005
43,Tunisia,4.9,2005
44,Lithuania,4.8,2005
45,Kuwait,4.7,2005
46,South Africa,4.5,2005
47,Czech Republic,4.3,2005
47,Greece,4.3,2005
47,Namibia,4.3,2005
47,Slovakia,4.3,2005
51,Costa Rica,4.2,2005
51,El Salvador,4.2,2005
51,Latvia,4.2,2005
51,Mauritius,4.2,2005
55,Bulgaria,4,2005
55,Colombia,4,2005
55,Fiji,4,2005
55,Seychelles,4,2005
59,Cuba,3.8,2005
59,Thailand,"3,8",2005
59,Trinidad and Tobago,"3,8",2005
62,Belize,3.7,2005
62,Brazil,"3,7",2005
64,Jamaica,3.6,2005
65,Ghana,3.5,2005
65,Mexico,3.5,2005
65,Panama,3.5,2005
65,Peru,3.5,2005
65,Turkey,3.5,2005
70,Burkina Faso,3.4,2005
70,Croatia,3.4,2005
70,Egypt,3.4,2005
70,Lesotho,3.4,2005
70,Poland,3.4,2005
70,Saudi Arabia,3.4,2005
70,Syria,3.4,2005
77,Laos,3.3,2005
78,China,3.2,2005
78,Morocco,3.2,2005
78,Senegal,3.2,2005
78,Sri Lanka,3.2,2005
78,Suriname,3.2,2005
83,Lebanon,3.1,2005
83,Rwanda,3.1,2005
85,Dominican Republic,3,2005
85,Mongolia,3,2005
85,Romania,3,2005
88,Armenia,2.9,2005
88,Benin,2.9,2005
88,Bosnia and Herzegovina,2.9,2005
88,Gabon,2.9,2005
88,India,2.9,2005
88,Iran,2.9,2005
88,Mali,2.9,2005
88,Moldova,2.9,2005
88,Tanzania,2.9,2005
97,Algeria,2.8,2005
97,Argentina,2.8,2005
97,Madagascar,2.8,2005
97,Malawi,2.8,2005
97,Mozambique,2.8,2005
97,Serbia and Montenegro,2.8,2005
103,Gambia,2.7,2005
103,Macedonia,2.7,2005
103,Swaziland,2.7,2005
103,Yemen,2.7,2005
107,Belarus,2.6,2005
107,Eritrea,2.6,2005
107,Honduras,2.6,2005
107,Kazakhstan,2.6,2005
107,Nicaragua,2.6,2005
107,Palestine,2.6,2005
107,Ukraine,2.6,2005
107,Vietnam,2.6,2005
107,Zambia,2.6,2005
107,Zimbabwe,2.6,2005
117,Afghanistan,2.5,2005
117,Bolivia,2.5,2005
117,Ecuador,2.5,2005
117,Guatemala,2.5,2005
117,Guyana,2.5,2005
117,Libya,2.5,2005
117,Nepal,2.5,2005
117,Philippines,2.5,2005
117,Uganda,2.5,2005
126,Albania,2.4,2005
126,Niger,2.4,2005
126,Russia,2.4,2005
126,Sierra Leone,2.4,2005
130,Burundi,2.3,2005
130,Cambodia,2.3,2005
130,"Congo, Republic of",2.3,2005
130,Georgia,2.3,2005
130,Kyrgyzstan,2.3,2005
130,Papua New Guinea,2.3,2005
130,Venezuela,2.3,2005
137,Azerbaijan,2.2,2005
137,Cameroon,2.2,2005
137,Ethiopia,2.2,2005
137,Indonesia,2.2,2005
137,Iraq,2.2,2005
137,Liberia,2.2,2005
137,Uzbekistan,2.2,2005
144,"Congo, Democratic Republic",2.1,2005
144,Kenya,2.1,2005
144,Pakistan,2.1,2005
144,Paraguay,2.1,2005
144,Somalia,2.1,2005
144,Sudan,2.1,2005
144,Tajikistan,2.1,2005
151,Angola,2,2005
152,Cote d'Ivoire,1.9,2005
152,Equatorial Guinea,1.9,2005
152,Nigeria,1.9,2005
155,Haiti,1.8,2005
155,Myanmar,1.8,2005
155,Turkmenistan,1.8,2005
158,Bangladesh,1.7,2005
158,Chad,1.7,2005
