Country,c2003,c2004,c2005,c2006,c2007,c2008,c2009,c2010,c2011,c2012,r2003,r2004,r2005,r2006,r2007,r2008,r2009,r2010,r2011,r2012
Burundi,,,,,,587,683,692,646,,,,,,,6.8,7.7,7.5,6.8,
Kenya,,1440,1365,1291,876,735,847,922,934,786,,4.1,3.8,3.5,2.3,1.9,2.1,2.3,2.2,1.8
Mauritius,53,40,38,64,77,69,57,51,58,,4.4,3.3,3.1,5.3,6.3,5.6,4.6,4.1,4.7,
Mozambique,,102,64,46,41,47,44,,,,,0.5,0.3,0.2,0.2,0.2,0.2,,,
Rwanda,,,,,,383,293,312,257,265,,,,,,3.7,2.8,2.9,2.3,2.3
Uganda,537,549,732,750,599,1536,619,709,,,2,2,2.5,2.5,1.9,4.8,1.9,2.1,,
Zimbabwe,3858,4997,4790,4967,4762,3186,,,,,30.4,39.4,37.7,39,37.4,24.9,,,,
Cameroon,451,555,592,580,447,,,,,,2.6,3.1,3.3,3.1,2.3,,,,,
Sao Tome and Principe,,,,1,2,5,7,2,3,,,,,0.6,1.2,3,4,1.1,1.6,
Algeria,723,630,376,352,386,345,385,304,292,773,2.2,1.9,1.1,1,1.1,1,1.1,0.8,0.8,2
Egypt,20,21,44,48,63,87,74,91,102,,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Morocco,618,453,475,1063,1215,1130,1507,,,1280,2.1,1.5,1.6,3.5,4,3.7,4.8,,,3.9
Sudan,,,,,,1189,,,,,,,,,,,,,,
Botswana,,,,,,,1754,1865,1800,,,,,,,,89.9,94.7,90.6,
Lesotho,,,,,1797,1878,1777,,,,,,,,91.9,95.2,89.3,,,
Swaziland,785,849,,,,,,,,,72.2,77.6,,,,,,,,
Guinea,,,,,92,,,,,,,,,,0.9,,,,,
Nigeria,,,,,1545,,,,,,,,,,1,,,,,
Senegal,,,301,159,167,416,710,693,,,,,2.7,1.4,1.4,3.4,5.6,5.4,,
Sierra Leone,,,,,135,79,,,,,,,,,2.5,1.4,,,,
Bermuda,36,43,,,,,,,,,,,,,,,,,,
Canada,531,587,565,570,528,490,471,581,549,499,1.7,1.8,1.8,1.7,1.6,1.5,1.4,1.7,1.6,1.4
United States of America,93883,95089,94347,94472,92610,90750,89241,85593,84175,84376,32.1,32.2,31.6,31.4,30.5,29.6,28.8,27.4,26.7,26.6
Bahamas,,,87,72,135,118,109,78,107,,,,26.4,21.5,39.5,33.9,30.7,21.6,29.2,
Barbados,,84,77,75,72,62,68,63,70,53,,30.9,28.1,27.3,26.1,22.3,24.4,22.5,24.8,18.7
Dominican Republic,,,,,,,,,,1591,,,,,,,,,,15.5
Grenada,,,23,22,30,31,57,32,58,27,,,22.3,21.3,29,29.8,54.7,30.6,55.2,25.6
Jamaica,,,,707,714,853,706,717,815,945,,,,26.2,26.4,31.4,25.9,26.2,29.6,34.1
Saint Kitts and Nevis,,,,,,,16,15,,,,,,,,,,,,
Saint Vincent and the Grenadines,,66,87,50,60,36,54,28,56,,,60.8,80,45.9,55,33,49.4,25.6,51.2,
